50,0.027350492257305854
100,0.025598044106400365
150,0.02758158999860786
200,0.030298069807854378
250,0.03037615915983886
300,0.03129021170385542
350,0.0322955713972705
400,0.03163731461532902
450,0.028786206592006314
500,0.026326424760882528
550,0.02181389762308033
600,0.021387622613288443
650,0.024121617348837887
700,0.027665501021991556
750,0.03200459301090093
800,0.036847850722557404
850,0.04173712717687485
900,0.04545181773905065
950,0.05028701074957741
